Bloque,Variable,Nombre_bloque,Nombre_variable,Descripcion_variable,Fuente,Unidad
2,2.9,DINAMISMO ECONÓMICO,Distancia a la capital,Distancia entre la sede del ayuntamiento del municipio en cuestión y la sede del ayundamiento del municipio de Madrid,Dirección General de Economía. Comunidad de Madrid,Km
2,2.10,DINAMISMO ECONÓMICO,Código NUTS de Zona Estadística,Código representante de la zona estadística NUTS a la que pertenece el municipio,Catálogo de Datos Abiertos de la Comunidad de Madrid,Km
2,2.11,DINAMISMO ECONÓMICO,Superficie total del municipio,Superficie total del municipio,Catálogo de Datos Abiertos de la Comunidad de Madrid,Km2
2,2.12,DINAMISMO ECONÓMICO,Trabajadores del sector primario afiliados a la seguridad social,Personas afiliadas a la seguridad social en las ramas de actividad pertenecientes al sector primario,Fórmula de unión de personas afiliadas a la seguridad social en aquellas ramas pertenecientes al sector primario (datos originales: Dinámica de la Ocupación. Dirección General de Economía. Afiliados y Cuentas de Cotización de la Tesorería General de la Seguridad Social),Número
2,2.13,DINAMISMO ECONÓMICO,Trabajadores del sector secundario afiliados a la seguridad social,Personas afiliadas a la seguridad social en las ramas de actividad pertenecientes al sector secundario,Fórmula de unión de personas afiliadas a la seguridad social en aquellas ramas pertenecientes al sector secundario (datos originales: Dinámica de la Ocupación. Dirección General de Economía. Afiliados y Cuentas de Cotización de la Tesorería General de la Seguridad Social),Número
2,2.14,DINAMISMO ECONÓMICO,Trabajadores del sector terciario afiliados a la seguridad social,Personas afiliadas a la seguridad social en las ramas de actividad pertenecientes al sector terciario,Fórmula de unión de personas afiliadas a la seguridad social en aquellas ramas pertenecientes al sector terciario (datos originales: Dinámica de la Ocupación. Dirección General de Economía. Afiliados y Cuentas de Cotización de la Tesorería General de la Seguridad Social),Número
2,2.15,DINAMISMO ECONÓMICO,Contratos totales del sector primario,Contratos totales de las ramas de actividad pertenecientes al sector primario,"Fórmula de unión de contratos totales en aquellas ramas pertenecientes al sector primario (datos originales: Estadísticas Mercado de Trabajo. Dirección General del Servicio Público de Empleo. Consejería de Economía, Hacienda y Empleo)",Número
2,2.16,DINAMISMO ECONÓMICO,Contratos totales del sector secundario,Contratos totales de las ramas de actividad pertenecientes al sector secundario,"Fórmula de unión de contratos totales en aquellas ramas pertenecientes al sector secundario (datos originales: Estadísticas Mercado de Trabajo. Dirección General del Servicio Público de Empleo. Consejería de Economía, Hacienda y Empleo)",Número
2,2.17,DINAMISMO ECONÓMICO,Contratos totales del sector terciario,Contratos totales de las ramas de actividad pertenecientes al sector terciario,"Fórmula de unión de contratos totales en aquellas ramas pertenecientes al sector terciario (datos originales: Estadísticas Mercado de Trabajo. Dirección General del Servicio Público de Empleo. Consejería de Economía, Hacienda y Empleo)",Número
2,2.18,DINAMISMO ECONÓMICO,Personas empleadas del sector primario,Ocupados totales en las ramas de activida pertenecientes al sector primario,Fórmula de unión de ocupados en aquellas ramas pertenecientes al sector primario (datos originales: Colectivo Empresarial. Dirección General de Economía),Número
