referencia_codigo;gestor_codigo;gestor_descripcion;municipio_codigo;municipio_descripcion;localizacion_descripcion;parcela_descripcion;regimen_codigo;clase_codigo;uso_principal_codigo;urbanizacion_codigo;superficie_registrada;superficie_edificable;descripcion_español;descripcion_ingles;observaciones_español;observaciones_ingles;contacto_direccion;referencia_catastral_20;referencia_catastral_14;coordenada_x;coordenada_y;url_visor
154006Y;Y;Ayuntamiento de Torres de la Alameda;154;Torres de la Alameda;Calle Amsterdam 28;PARCELA R15;V;URB;I;U;300;300;Suelo urbano. Perteneciente al polígono industrial Sector R3 Pozo de la Fuente. Ordenanza industrial 1º. Industria nido.;Urban ground. It belongs to the Sector R3 Pozo de la Fuente. Industrial 1º Ordinance.;;;Tf.-918868250 Plaza del Sol, 16- 28813- Torres de la Alameda (Madrid);7839828VK6773N0001JK;7839828VK6773N;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27154006Y%27&&share&&ZONE=430000,4485000,8
154007Y;Y;Ayuntamiento de Torres de la Alameda;154;Torres de la Alameda;Calle Amsterdam 30;PARCELA R14;V;URB;I;U;300;300;Suelo urbano. Perteneciente al polígono industrial Sector R3 Pozo de la Fuente. Ordenanza industrial 1º. Industria nido.;Urban ground. It belongs to the Sector R3 Pozo de la Fuente. Industrial 1º Ordinance.;;;Tf.-918868250 Plaza del Sol, 16- 28813- Torres de la Alameda (Madrid);7839827VK6773N0001IK;7839827VK6773N;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27154007Y%27&&share&&ZONE=430000,4485000,8
000134A;A;Planifica Madrid, Proyectos y Obras, S.A.;065;Getafe;BUENAVISTA;CM-1;V;URB;T;U;2168;2376;Parcela de uso terciario con tolerancia comercial , tiene una superficie de 2.160 m2 y una edificabilidad de 2.376 m2 . Pertenece a la actuacion urbanistica de Buenavista en Getafe con buenos accesos desde la A-4 y A-42;;Consorcios;;91 436 15 90;5922602VK3662S0001QP;5922602VK3662S;436128;4461891;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27000134A%27&&share&&ZONE=430000,4485000,8
154008Y;Y;Ayuntamiento de Torres de la Alameda;154;Torres de la Alameda;Calle Amsterdam 32;PARCELA R13;V;URB;I;U;300;300;Suelo urbano. Perteneciente al polígono industrial Sector R3 Pozo de la Fuente. Ordenanza industrial 1º. Industria nido.;Urban ground. It belongs to the Sector R3 Pozo de la Fuente. Industrial 1º Ordinance.;;;Tf.-918868250 Plaza del Sol, 16- 28813- Torres de la Alameda (Madrid);7839826VK6773N0001XK;7839826VK6773N;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27154008Y%27&&share&&ZONE=430000,4485000,8
154009Y;Y;Ayuntamiento de Torres de la Alameda;154;Torres de la Alameda;Calle Amsterdam 34;PARCELA R12;V;URB;I;U;300;300;Suelo urbano. Perteneciente al polígono industrial Sector R3 Pozo de la Fuente. Ordenanza industrial 1º. Industria nido.;Urban ground. It belongs to the Sector R3 Pozo de la Fuente. Industrial 1º Ordinance.;;;Tf.-918868250 Plaza del Sol, 16- 28813- Torres de la Alameda (Madrid);7839825VK6773N0001DK;7839825VK6773N;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27154009Y%27&&share&&ZONE=430000,4485000,8
154010Y;Y;Ayuntamiento de Torres de la Alameda;154;Torres de la Alameda;Calle Amsterdam 36;PARCELA R11;V;URB;I;U;300;300;Suelo urbano. Perteneciente al polígono industrial Sector R3 Pozo de la Fuente. Ordenanza industrial 1º. Industria nido.;Urban ground. It belongs to the Sector R3 Pozo de la Fuente. Industrial 1º Ordinance.;;;Tf.-918868250 Plaza del Sol, 16- 28813- Torres de la Alameda (Madrid);7839824VK6773N0001RK;7839824VK6773N;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27154010Y%27&&share&&ZONE=430000,4485000,8
154011Y;Y;Ayuntamiento de Torres de la Alameda;154;Torres de la Alameda;Calle Amsterdam 38;PARCELA R10;V;URB;I;U;300;300;Suelo urbano. Perteneciente al polígono industrial Sector R3 Pozo de la Fuente. Ordenanza industrial 1º. Industria nido.;Urban ground. It belongs to the Sector R3 Pozo de la Fuente. Industrial 1º Ordinance.;;;Tf.-918868250 Plaza del Sol, 16- 28813- Torres de la Alameda (Madrid);7839823VK6773N0001KK;7839823VK6773N;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27154011Y%27&&share&&ZONE=430000,4485000,8
115076Y;Y;Ayuntamiento de Pozuelo de Alarcón;115;Pozuelo de Alarcón;CALLE Zafra, 1;"PARCELA RU.13-1. API 4.6-03 ""Parque Arroyo Meaques""";V;URB;R;U;500;285;Suelo urbano. Residencial Unifamiliar Aislada o pareada. Parcela mínima 500 m2;;Parcela pendiente de depuración por defecto de cabida;Property pending  regularization.;Ayuntamiento de Pozuelo de Alarcón Tf.-914522700 Ext. 2540 pchavarri@pozuelo.madrid;3936612VK3739N0001QX;3936612VK3739N;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27115076Y%27&&share&&ZONE=430000,4485000,8
115077Y;Y;Ayuntamiento de Pozuelo de Alarcón;115;Pozuelo de Alarcón;CALLE Zafra, 3;"PARCELA RU.13-2.API 4.6-03 ""Parque Arroyo Meaques""";V;URB;R;U;500;285;Suelo urbano. Residencial Unifamiliar Aislada o pareada. Parcela mínima 500 m2;;Parcela pendiente de depuración por defecto de cabida;Property pending  regularization.;Ayuntamiento de Pozuelo de Alarcón Tf.-914522700 Ext. 2540 pchavarri@pozuelo.madrid;3936611VK3733N0001GS;3936611VK3733N;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27115077Y%27&&share&&ZONE=430000,4485000,8
115078Y;Y;Ayuntamiento de Pozuelo de Alarcón;115;Pozuelo de Alarcón;CALLE Zafra, 5;"PARCELA RU.13-3.API 4.6-03 ""Parque Arroyo Meaques""";V;URB;R;U;500;285;Suelo urbano. Residencial Unifamiliar Aislada o pareada. Parcela mínima 500 m2;;Parcela pendiente de depuración por defecto de cabida;Property pending  regularization.;Ayuntamiento de Pozuelo de Alarcón Tf.-914522700 Ext. 2540 pchavarri@pozuelo.madrid;3936610VK3733N0001YS;3936610VK3733N;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27115078Y%27&&share&&ZONE=430000,4485000,8
115079Y;Y;Ayuntamiento de Pozuelo de Alarcón;115;Pozuelo de Alarcón;CALLE Zafra, 7;"PARCELA RU.13-4.API 4.6-03 ""Parque Arroyo Meaques""";V;URB;R;U;500;285;Suelo urbano. Residencial Unifamiliar Aislada o pareada. Parcela mínima 500 m2;;Parcela pendiente de depuración por defecto de cabida;Property pending  regularization.;Ayuntamiento de Pozuelo de Alarcón Tf.-914522700 Ext. 2540 pchavarri@pozuelo.madrid;3936609VK3733N0001QS;3936609VK3733N;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27115079Y%27&&share&&ZONE=430000,4485000,8
115080Y;Y;Ayuntamiento de Pozuelo de Alarcón;115;Pozuelo de Alarcón;CALLE Trujillo, 22;"PARCELA RU.13-12. API 4.6-03 ""Parque Arroyo Meaques""";V;URB;R;U;500;285;Suelo urbano. Residencial Unifamiliar Aislada o pareada. Parcela mínima 500 m2;;Parcela pendiente de depuración por defecto de cabida;Property pending  regularization.;Ayuntamiento de Pozuelo de Alarcón Tf.-914522700 Ext. 2540 pchavarri@pozuelo.madrid;3936606VK3733N0001BS;3936606VK3733N;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27115080Y%27&&share&&ZONE=430000,4485000,8
000085A;A;Dirección General de Suelo;092;Móstoles;MÓSTOLES TECNOLÓGICO;2.2;V;URB;T;U;4378;5035;Parcela de uso terciario con tolerancia industrial con una superficie de 4.378  m2 y una edificabilidad de5.027  m2. Pertenece a la actuación urbanistica Mostoles Tecnologico ubicada frente a la Universidad Rey Juan Carlos , con buenos accesos y comunicaciones mediante  la A-5, la Estación decernanias Mostoles-El Soto y Metrosur;;Pendiente de Concurso;;Tf.-91 438 21 65 / 66, c/ Alcalá, 16, Madrid 28014.;6062302VK2666S0001UB;6062302VK2666S;425823;4465988;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27000085A%27&&share&&ZONE=430000,4485000,8
000086A;A;Dirección General de Suelo;092;Móstoles;MÓSTOLES TECNOLÓGICO;2.3;V;URB;T;U;3600;4140;Parcela de uso terciario con tolerancia industrial presenta una supercie de 3.600 m2 y una superficie edificable de 4.140 m2. Pertenece a la actuación urbanistica Mostoles Tecnologico situada enfrente de la Universidad rey juan Carlos  con buenos accesos y comunicaciones mediante la A-5, la Estación de cercanias  Mostoles- El Soto y Metrosur;;Pendiente de Concurso;;Tf.-91 438 21 65 / 66, c/ Alcalá, 16, Madrid 28014.;6062303VK2666S0001HB;6062303VK2666S;425866;4466011;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27000086A%27&&share&&ZONE=430000,4485000,8
000087A;A;Dirección General de Suelo;092;Móstoles;MÓSTOLES TECNOLÓGICO;2.4;V;URB;T;U;3600;4140;Parcela de uso terciario con tolerancia industrial con una superficie de 3.600 m2 y una edificabilidad de 4.140 m2 . Pertenece a la actuacion urbanistica Mostoles Tecnologico ubicada enfrente de la Universidad Rey juan Carlos dispone de buenas comunicaciones y accesos mediante la A-5, Estación de cercanias Mostoles-el soto y Metrosur.;;Pendiente de Concurso;;Tf.-91 438 21 65 / 66, c/ Alcalá, 16, Madrid 28014.;6062304VK2666S0001WB;6062304VK2666S;425906;4466033;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27000087A%27&&share&&ZONE=430000,4485000,8
000088A;A;Dirección General de Suelo;092;Móstoles;MÓSTOLES TECNOLÓGICO;3.2;V;URB;T;U;3613;4155;Parcela de uso terciario con tolerancia industrial  con una superficie de 3.613 m2 y una edificabilidad de 4.155 m2 . Pertenece a la actuación urbanistica Mostoles Tecnologico localizada enfrente de la Universidad Rey Juan Carlos . Dispone de buenos accesos y comunicaciones mediante la A-5, la Estación de cercanias de Mostoles- El Soto y Metrosur;;Pendiente de Concurso;;Tf.-91 438 21 65 / 66, c/ Alcalá, 16, Madrid 28014.;6264202VK2666S0001BB;6264202VK2666S;426121;4466207;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27000088A%27&&share&&ZONE=430000,4485000,8
000089A;A;Dirección General de Suelo;092;Móstoles;MÓSTOLES TECNOLÓGICO;3.3;V;URB;T;U;5583;6420;Parcela de uso terciario con tolerancia industrial con una superficie de 5.583 m2 y una edificabbilidad de 6.420 m2 . Pertenece a la actuación urbanistica Mostoles Tecnologico ubicada frente a la Universidad Rey Juan Carlos con buenos accesos y comunicaciones mediante la A-5 , la Estación de cercanias Mostoles-El Soto y Metrosur;;Pendiente de Concurso;;Tf.-91 438 21 65 / 66, c/ Alcalá, 16, Madrid 28014.;6264203VK2666S0001YB;6264203VK2666S;426148;4466249;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27000089A%27&&share&&ZONE=430000,4485000,8
000090A;A;Dirección General de Suelo;092;Móstoles;MÓSTOLES TECNOLÓGICO;3.4;V;URB;T;U;5345;6147;Parcela de uso terciario con tolerancia industrial tiene una superficie de 5.345 m2 y una edificabilidad de 6.147 m2 . Pertenece a la actuacion urbanistica Mostoles Tecnologico ubicada frente a la Universidad Rey Juan Carlos con buenos accesos y comunicaciones  con la A-5 ,Estación de cercanias Mostoles-El Soto y Metrosur;;Pendiente de Concurso;;Tf.-91 438 21 65 / 66, c/ Alcalá, 16, Madrid 28014.;6264204VK2666S0001GB;6264204VK2666S;426070;4466296;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27000090A%27&&share&&ZONE=430000,4485000,8
000084A;A;Dirección General de Suelo;092;Móstoles;MÓSTOLES TECNOLÓGICO;2.1;V;URB;T;U;7305;8401;Parcela de uso terciario con tolerancia industrial con una superficie de 7.305 m2 y una edificabilidad de 8.401 m2. Pertenece a la actuación urbanistica Mostoles Tecnologico ubicada frente a la Universidad Rey Juan Carlos , con buenos accesos y comunicaciones mediante la A-5 , la Estación de cernanias Mostoles-El Soto y Metrosur;;Pendiente de Concurso;;Tf.-91 438 21 65 / 66, c/ Alcalá, 16, Madrid 28014.;6062301VK2666S0001ZB;6062301VK2666S;425759;4465948;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27000084A%27&&share&&ZONE=430000,4485000,8
000094A;A;Dirección General de Suelo;005;Alcalá de Henares;ESPARTALES NORTE;TC-2;V;URB;C;U;6486,78;4500;Parcela de uso comercial con una superficie de 6.486 m2 y una edificabilidad de 4.500 m2. Pertenece a la actuación urbanística residencial  Los Espartales situado al Norte de Alcalá de Henares  junto a la A-2, bien comunicado con conexiones desde la M-100 , la M-100 y la M-119;;;;Tf.-91 438 21 65 / 66, c/ Alcalá, 16, Madrid 28014.;9046501VK6894N0001KW;9046501VK6894N;469102;4484433;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27000094A%27&&share&&ZONE=430000,4485000,8
000091A;A;Dirección General de Suelo;092;Móstoles;MÓSTOLES TECNOLÓGICO;3.5;V;URB;T;U;3576;4112;Parcela de uso terciario con tolerancia industrial con una superficie de 3.576 m2 y una edificabilidad de 4.112 m2 . Pertenece a la actuacion urbanistica Mostoles Tecnologico ubicada frente a la Universidad Rey Juan Carlos con buenos accesos y comunicaciones mediante la A-5 , la Estación de cercanias Mostoles-El Soto y Metrosur;;Pendiente de Concurso;;Tf.-91 438 21 65 / 66, c/ Alcalá, 16, Madrid 28014.;6264205VK2666S0001QB;6264205VK2666S;426044;4466253;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27000091A%27&&share&&ZONE=430000,4485000,8
123002Y;Y;Ayuntamiento de Rivas Vaciamadrid;123;Rivas-Vaciamadrid;CALLE MANUEL PATARROYO S/N;PARCELA 1. SECTOR 8. CAPA NEGRA. Z.O.U.P 18;V;URB;T;U;14932;33000;"Suelo Urbano. Uso terciario. Altura máxima 7; Altura; Bajo + 6 + ático retranqueado (20m) Ocupación bajo rasante el 100%.                         Ocupación máxima: 60,00 total (%)";"Urban ground. Tertiary use. Maximum height 7; Height; Ground floor + 6 + recessed attic (20m) Occupation below ground level 100%. Maximum occupancy: 60.00 total (%)";La parcela se encuentra libre de edificaciones y dotada de todos los servicios e No infraestructuras municipales y actualmente vallada y ocupada por 4 monospostes publicitarios orientados a la A3.;The plot is free of buildings and equipped with all municipal services and non-infrastructures and is currently fenced and occupied by 4 advertising posts oriented to the A3.;Oficina de proyectos estratégicos mail: opec@rivasciudad.es teléfono: 913222339;5549103VK5654N0001SP;5549103VK5654N;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27123002Y%27&&share&&ZONE=430000,4485000,8
000082A;A;Dirección General de Suelo;092;Móstoles;MÓSTOLES TECNOLÓGICO;1.4;V;URB;T;U;4371;5027;Parcela de uso terciario con tolerancia comercial con una superficie de 4.371 m2 y una edificabildad de 5.027 m2. Pertenece a la actuación urbanistica Mostoles Tecnologico  enfrente de  laUniversidad Rey Juan Carlos con buenos accesos y comunicaciones mediante la A-5 , la Estación de cernanias Mostole- El Soto y Metrosur.;;Pendiente de Concurso;;Tf.-91 438 21 65 / 66, c/ Alcalá, 16, Madrid 28014.;5660304VK2656S0001MH;5660304VK2656S;425560;4465847;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27000082A%27&&share&&ZONE=430000,4485000,8
000083A;A;Dirección General de Suelo;092;Móstoles;MÓSTOLES TECNOLÓGICO;1.5;V;URB;T;U;7969;9164;Parcela de uso terciario con tolerancia comercial con una superficie de7.969 m2 y una edificabildad de 9.164  m2. Pertenece a la actuación urbanistica Mostoles Tecnologico  enfrente de  laUniversidad Rey Juan Carlos con buenos accesos y comunicaciones mediante la A-5, Estacion de cercanias Mostoles-El Soto y Metrosur;;Pendiente de Concurso;;Tf.-91 438 21 65 / 66, c/ Alcalá, 16, Madrid 28014.;5660305VK2656S0001OH;5660305VK2656S;425628;4465889;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27000083A%27&&share&&ZONE=430000,4485000,8
000981S;S;Dirección General de Suelo;130;San Fernando de Henares;Sector UP-I2 PARCELA I-4a;PARCELA I-4a;V;URB;I;P;3758,34;3232;Parcela de uso Industrial con acceso rápido desde la M-45.;Industrial use plot with quick access from the M-45;;;Tf.-91 438 21 65 / 66,  c/ Alcalá, 16, Madrid 28014;7963902VK5776S0001ML;7963902VK5776S;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27000981S%27&&share&&ZONE=430000,4485000,8
